station,in_v1_merge,in_qaqc_full,in_clean,in_raw,v1_start,v1_end,v1_n
ASOSAWOS_69023024255,False,False,True,False,,,0
ASOSAWOS_69960403145,False,False,True,False,,,0
ASOSAWOS_72272093063,False,False,True,False,,,0
ASOSAWOS_72293093107,False,False,True,False,,,0
ASOSAWOS_72375503103,False,False,True,False,,,0
ASOSAWOS_72475723176,False,False,True,False,,,0
ASOSAWOS_72483523206,False,False,True,False,,,0
ASOSAWOS_72571594025,False,False,True,False,,,0
ASOSAWOS_72574024027,False,False,True,False,,,0
ASOSAWOS_72582403170,False,False,True,False,,,0
ASOSAWOS_72598524267,False,False,True,False,,,0
ASOSAWOS_72797524255,False,False,True,False,,,0
ASOSAWOS_74520023176,False,False,True,False,,,0
ASOSAWOS_74520123176,False,False,True,False,,,0
ASOSAWOS_99999923176,False,False,True,False,,,0
ASOSAWOS_99999924138,False,False,True,False,,,0
ASOSAWOS_99999953129,False,False,True,False,,,0
ASOSAWOS_99999993107,False,False,True,False,,,0
ASOSAWOS_99999993134,False,False,True,False,,,0
ASOSAWOS_99999994297,False,False,True,False,,,0
