station,start,end,n_total,n_2022_plus,has_pre_2022,record_type,error
ASOSAWOS_69007093217,1991-01-02,1993-08-31,23340,0,True,baseline_only,
ASOSAWOS_69023024255,2022-01-01,2026-06-09,38897,38897,False,append_only,
ASOSAWOS_69960403145,2022-01-01,2026-06-09,38897,38897,False,append_only,
ASOSAWOS_72012200114,2014-07-31,2015-09-30,10213,0,True,baseline_only,
ASOSAWOS_72019300117,2010-10-30,2026-06-09,109640,23860,True,full,
ASOSAWOS_72020200118,2005-01-03,2026-06-09,187847,38898,True,full,
ASOSAWOS_72025400119,2007-02-16,2026-06-09,169273,38898,True,full,
ASOSAWOS_72026723224,2006-01-01,2026-06-09,179154,38898,True,full,
ASOSAWOS_72027294282,2006-01-01,2026-06-09,179154,38898,True,full,
ASOSAWOS_72032204129,2006-01-01,2026-06-09,179154,38898,True,full,
ASOSAWOS_72033353175,2006-09-07,2026-06-09,173158,38897,True,full,
ASOSAWOS_72033900121,2007-11-15,2026-06-09,162741,38897,True,full,
ASOSAWOS_72034594086,2006-01-01,2026-06-09,179154,38898,True,full,
ASOSAWOS_72036524267,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72036904135,2006-10-24,2026-06-09,172039,38898,True,full,
ASOSAWOS_72038500419,2007-04-01,2026-06-09,168228,38898,True,full,
ASOSAWOS_72038800469,2007-04-01,2026-06-09,168229,38898,True,full,
ASOSAWOS_72040600135,2014-07-31,2026-06-09,103962,38898,True,full,
ASOSAWOS_72041100137,2008-01-07,2026-06-09,161475,38898,True,full,
ASOSAWOS_72051724165,2013-06-27,2022-08-11,79978,5350,True,full,
ASOSAWOS_72051800449,2013-08-01,2026-06-09,112684,38898,True,full,
ASOSAWOS_72052100475,2013-05-02,2026-06-09,114870,38898,True,full,
ASOSAWOS_72052200443,2013-05-14,2026-06-09,114580,38898,True,full,
ASOSAWOS_72052900429,2008-07-04,2021-10-16,116450,0,True,baseline_only,
ASOSAWOS_72053100158,2012-02-09,2026-06-09,125620,38898,True,full,
ASOSAWOS_72053200159,2009-11-21,2026-06-09,145060,38898,True,full,
ASOSAWOS_72053300160,2010-02-01,2026-06-09,143325,38898,True,full,
ASOSAWOS_72053400161,2014-07-01,2026-06-09,104682,38898,True,full,
ASOSAWOS_72053500162,2012-07-26,2026-06-09,121586,38898,True,full,
ASOSAWOS_72053700163,2010-11-29,2026-06-09,136102,38898,True,full,
ASOSAWOS_72053800164,2010-12-02,2026-06-09,136029,38898,True,full,
ASOSAWOS_72053900165,2009-10-01,2026-06-09,146278,38898,True,full,
ASOSAWOS_72054400168,2010-11-29,2026-06-09,136103,38898,True,full,
ASOSAWOS_72054900171,2010-07-14,2026-06-09,139420,38898,True,full,
ASOSAWOS_72056724180,2014-07-24,2026-06-09,104113,38898,True,full,
ASOSAWOS_72057600174,2008-07-21,2026-06-09,156770,38898,True,full,
ASOSAWOS_72061400205,2009-05-10,2022-08-31,116688,5832,True,full,
ASOSAWOS_72061500206,2009-01-20,2025-08-25,145460,31980,True,full,
ASOSAWOS_72063500221,2009-05-08,2026-06-09,149801,38898,True,full,
ASOSAWOS_72063800224,2009-05-24,2026-06-09,149401,38898,True,full,
ASOSAWOS_72064400226,2013-01-01,2026-06-09,117786,38898,True,full,
ASOSAWOS_72064500227,2009-07-11,2022-08-31,115198,5832,True,full,
ASOSAWOS_72064600228,2009-07-17,2026-06-09,148103,38898,True,full,
ASOSAWOS_72065200433,2009-08-27,2026-06-09,147137,38897,True,full,
ASOSAWOS_72073400264,2010-05-14,2026-06-09,140882,38898,True,full,
ASOSAWOS_72074100269,2010-06-24,2026-06-09,139898,38898,True,full,
ASOSAWOS_72074924255,1980-01-01,2022-08-31,374016,5832,True,full,
ASOSAWOS_72083900279,2011-09-21,2026-06-09,128996,38898,True,full,
ASOSAWOS_72085200280,2010-12-01,2026-06-09,136059,38898,True,full,
ASOSAWOS_72092300310,2011-01-18,2026-06-09,134901,38898,True,full,
ASOSAWOS_72096900341,2012-01-30,2012-12-13,7633,0,True,baseline_only,
ASOSAWOS_72097100342,2012-01-30,2024-09-04,110429,23453,True,full,
ASOSAWOS_72097600345,2012-02-15,2022-08-12,91942,5370,True,full,
ASOSAWOS_72103600353,2012-08-06,2026-06-09,121319,38898,True,full,
ASOSAWOS_72206103038,2006-01-01,2022-08-31,146088,5832,True,full,
ASOSAWOS_72209653127,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72210103039,2006-01-01,2026-06-09,179154,38898,True,full,
ASOSAWOS_72214204114,2005-01-01,2026-06-09,187913,38897,True,full,
ASOSAWOS_72215503040,2006-01-01,2022-08-31,146088,5832,True,full,
ASOSAWOS_72220303041,2006-01-01,2026-06-09,179154,38898,True,full,
ASOSAWOS_72220804224,2006-01-01,2026-06-09,179154,38898,True,full,
ASOSAWOS_72222100444,2013-07-31,2026-06-09,112706,38898,True,full,
ASOSAWOS_72233303069,2006-01-01,2022-08-31,146088,5832,True,full,
ASOSAWOS_72267603035,2006-01-01,2026-06-09,179154,38898,True,full,
ASOSAWOS_72267703027,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72267823052,1998-09-02,2026-06-09,243420,38898,True,full,
ASOSAWOS_72268023009,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72268393083,2006-01-01,2022-08-31,146088,5832,True,full,
ASOSAWOS_72268793033,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72268923077,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72269393097,2006-01-01,2026-03-10,176967,36711,True,full,
ASOSAWOS_72269593041,2002-09-02,2026-06-09,208356,38898,True,full,
ASOSAWOS_72270023044,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72271093045,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72272093063,2022-01-01,2026-06-09,38898,38898,False,append_only,
ASOSAWOS_72272193063,1980-08-26,2026-06-09,401370,38898,True,full,
ASOSAWOS_72272523078,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72272803196,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72273003124,1980-01-02,2022-08-31,373977,5832,True,full,
ASOSAWOS_72274023160,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72274793084,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72274803914,2006-01-01,2022-08-31,146088,5832,True,full,
ASOSAWOS_72274953128,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72276403029,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72278023183,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72278303185,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72278403184,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72278623104,1980-01-02,2026-06-09,407046,38897,True,full,
ASOSAWOS_72278753126,2006-01-01,2026-06-09,179152,38897,True,full,
ASOSAWOS_72278803186,2006-01-01,2022-08-31,146088,5832,True,full,
ASOSAWOS_72278903192,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72281023199,1984-04-13,2022-08-31,336464,5832,True,full,
ASOSAWOS_72281353146,2008-08-07,2026-06-09,156371,38897,True,full,
ASOSAWOS_72281703068,2006-05-01,2025-08-18,169182,31811,True,full,
ASOSAWOS_72282553145,2006-01-01,2015-02-01,79640,0,True,baseline_only,
ASOSAWOS_72286893138,2006-01-01,2022-08-31,146088,5832,True,full,
ASOSAWOS_72286903171,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72287493134,1999-07-01,2024-05-20,218166,20895,True,full,
ASOSAWOS_72288023152,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72288593197,2006-01-01,2022-08-31,146088,5832,True,full,
ASOSAWOS_72288623130,1988-01-01,2022-08-31,303888,5832,True,full,
ASOSAWOS_72289523243,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72289793206,2006-01-01,2022-08-31,146088,5832,True,full,
ASOSAWOS_72289903179,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72290023188,1980-01-01,2026-06-09,407082,38898,True,full,
ASOSAWOS_72290303131,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72290403178,2006-01-01,2022-08-31,146088,5832,True,full,
ASOSAWOS_72290693112,1980-01-01,2026-06-09,407082,38898,True,full,
ASOSAWOS_72290753143,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72290993115,1980-01-02,2022-08-31,373977,5832,True,full,
ASOSAWOS_72291093116,1980-01-01,2022-08-31,374016,5832,True,full,
ASOSAWOS_72292023191,1980-01-01,2022-08-31,374016,5832,True,full,
ASOSAWOS_72292593117,1980-01-01,2022-08-31,374016,5832,True,full,
ASOSAWOS_72292603154,1980-01-02,2026-06-09,407042,38897,True,full,
ASOSAWOS_72292703177,2006-01-01,2026-06-09,179154,38898,True,full,
ASOSAWOS_72292800369,2009-10-29,2025-08-12,138387,31679,True,full,
ASOSAWOS_72293093107,2022-01-01,2026-06-09,38897,38897,False,append_only,
ASOSAWOS_72293193107,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72293453121,2006-01-01,2022-08-31,146088,5832,True,full,
ASOSAWOS_72295023174,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72295503174,2006-01-01,2022-08-31,146088,5832,True,full,
ASOSAWOS_72295603167,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72297023129,1980-01-01,2022-08-31,374016,5832,True,full,
ASOSAWOS_72297553141,2006-01-01,2022-08-31,146088,5832,True,full,
ASOSAWOS_72297603166,2006-01-01,2026-06-09,179153,38897,True,full,
ASOSAWOS_72297793184,1980-01-01,2022-08-31,374016,5832,True,full,
ASOSAWOS_72317153144,2006-01-01,2026-06-09,179154,38898,True,full,
ASOSAWOS_72360023051,1980-01-01,2026-06-09,407081,38897,True,full,
ASOSAWOS_72362593057,1980-01-01,2022-08-31,373998,5832,True,full,
